Year,State,Gender,Value,,,,,NSW,,,Vic.,,,Qld,,,SA,,,WA,,,Tas.,,,NT,,,ACT,,,Australia,,
2016,NSW,,,,,,YEAR,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
2016,NSW,,,,,,Aboriginal and Torres Strait Islander,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,VIC,,,,,,2016,3215,750,3965,718,147,865,2934,499,3433,1011,179,1190,2459,672,3131,188,37,225,2332,315,2647,86,26,112,12943,2625,15568
2016,VIC,,,,,,2017,4514,1066,5580,943,247,1190,3769,665,4434,1281,249,1530,3429,950,4379,287,62,349,3336,493,3829,132,45,177,17691,3777,21468
2016,QLD,,,,,,2018,4703,1066,5769,1206,300,1506,3909,713,4622,1356,249,1605,3408,934,4342,308,47,355,3315,455,3770,137,53,190,18342,3817,22159
2016,QLD,,,,,,2019,5200,1111,6311,1379,327,1706,4355,762,5117,1402,244,1646,3207,842,4049,320,62,382,2987,401,3388,144,42,186,18994,3791,22785
2016,SA,,,,,,2020,5035,976,6011,1204,248,1452,4255,727,4982,1505,276,1783,2958,705,3663,286,49,335,2937,348,3285,147,59,206,18327,3388,21717
2016,SA,,,,,,2021,4908,880,5788,1226,226,1452,4700,864,5564,1349,252,1601,2920,628,3548,322,62,384,3049,377,3426,135,45,180,18609,3334,21943
2016,WA,,,,,,2022,5400,946,6346,1228,189,1417,4929,930,5859,1439,301,1740,3168,744,3912,321,43,364,1525,172,3579,83,24,219,19839,3597,23436
2016,TAS,,,,,,2023,5832,1127,6959,1311,140,1451,5510,1084,6594,1467,336,1803,3989,945,4934,402,69,471,3518,486,4004,161,40,202,22190,4227,26418
2016,TAS,,,,,,2024,3322,682,4004,477,64,541,2930,641,3571,845,196,1041,2397,648,3045,207,54,261,1652,258,1910,110,15,125,11940,2558,14498
2016,NT,,,,,,Non-Indigenous,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,NT,,,,,,2016,8714,1121,9835,6177,800,6977,5806,824,6630,2895,329,3224,4035,556,4591,817,122,939,381,62,443,415,56,471,29240,3870,33110
2016,ACT,,,,,,2017,11284,1627,12911,7866,1180,9046,7368,1024,8392,3302,381,3683,5093,866,5959,1117,171,1288,527,72,599,596,109,705,37153,5430,42583
2016,ACT,,,,,,2018,11578,1535,13113,9390,1397,10787,7734,1189,8924,3181,425,3607,4842,846,5688,1242,213,1455,496,56,552,545,83,628,39008,5744,44754
,NSW,,,,,,2019,12002,1592,13594,9790,1376,11166,7531,1097,8628,3259,352,3616,4838,824,5662,1250,201,1451,435,74,509,528,87,616,39633,5603,45242
,NSW,,,,,,2020,11497,1363,12860,9061,1067,10128,6951,914,7865,3278,396,3676,4270,670,4940,1068,165,1233,351,62,413,573,69,642,37049,4706,41757
,VIC,,,,,,2021,10890,1236,12126,8198,958,9156,7214,978,8192,3172,407,3582,3918,586,4504,1009,174,1183,346,45,391,475,66,541,35222,4450,39675
,VIC,,,,,,2022,10915,1217,12132,8041,910,8951,7704,965,8669,2867,342,3209,3681,515,4197,975,143,1119,141,16,285,263,37,569,34967,4162,39131
,QLD,,,,,,2023,11171,1213,12385,7208,770,7978,8563,1110,9673,3044,354,3398,4320,635,4955,1171,151,1322,338,33,371,457,60,517,36272,4326,40599
,QLD,,,,,,2024,6032,619,6652,2896,283,3179,4236,543,4779,1745,190,1935,2525,359,2884,611,80,691,174,18,192,227,27,254,18446,2119,20566
,SA,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SA,,,,,,2016,11983,1889,13872,7076,1051,8127,8740,1323,10063,4230,558,4788,6494,1228,7722,1036,169,1205,2713,377,3090,520,85,605,42792,6680,49472
,WA,,,,,,2017,15903,2706,18609,9018,1513,10531,11137,1689,12826,5013,699,5712,8522,1816,10338,1425,240,1665,3863,565,4428,755,160,916,55636,9388,65025
,TAS,,,,,,2018,16499,2641,19149,10912,1758,12670,11643,1902,13546,5021,744,5766,8250,1780,10030,1577,272,1849,3811,511,4322,711,140,851,58424,9748,68183
,TAS,,,,,,2019,17438,2734,20172,11432,1766,13198,11886,1859,13745,5033,634,5673,8045,1666,9711,1608,271,1879,3422,475,3897,687,130,818,59551,9535,69093
,NT,,,,,,2020,16646,2355,19001,10579,1407,11986,11206,1641,12847,5101,741,5846,7228,1375,8603,1389,228,1617,3288,410,3698,736,129,865,56173,8286,64463
,NT,,,,,,2021,15972,2140,18112,9907,1287,11194,11914,1842,13756,4880,714,5597,6838,1214,8052,1353,258,1611,3395,422,3817,621,115,736,54880,7992,62875
,ACT,,,,,,2022,16485,2185,18670,9681,1193,10874,12633,1895,14528,4596,696,5294,6849,1259,8109,1356,210,1567,3441,423,3864,731,98,829,55772,7959,63735
,ACT,,,,,,2023,17447,2407,19855,8768,961,9729,14073,2194,16267,4804,727,5531,8309,1580,9889,1635,238,1873,3856,519,4375,673,107,781,59565,8733,68300
,,,,,,,2024,9583,1348,10932,3492,375,3867,7166,1184,8350,2777,414,3191,4922,1007,5929,849,142,991,1826,276,2102,363,44,407,30978,4790,35769
